timestamp,operation,available,kind,http_status,latency_ms
1786585322,validate,1,,200,257
1786585323,validate,1,,200,272
1786585324,validate,1,,200,250
1786585325,login,1,,200,309
1786585327,validate,1,,200,167
1786585328,validate,1,,200,174
1786585329,validate,1,,200,260
1786585330,validate,1,,200,168
1786585331,validate,1,,200,168
1786585332,validate,1,,200,178
1786585333,login,1,,200,344
1786585335,validate,1,,200,222
1786585336,validate,1,,200,181
1786585337,validate,1,,200,178
1786585339,validate,1,,200,226
1786585340,login,1,,200,318
1786585341,validate,1,,200,187
1786585342,validate,1,,200,181
1786585344,validate,1,,200,190
1786585345,validate,1,,200,242
1786585346,validate,1,,200,192
1786585347,validate,1,,200,229
1786585349,validate,1,,200,431
1786585350,login,1,,200,452
1786585352,validate,1,,200,206
1786585353,login,1,,200,320
1786585354,validate,1,,200,182
1786585356,validate,1,,200,239
1786585357,validate,1,,200,170
1786585358,validate,1,,200,187
1786585359,validate,1,,200,179
1786585360,validate,1,,200,187
1786585361,validate,1,,200,188
1786585363,validate,1,,200,446
1786585364,validate,1,,200,170
1786585365,validate,1,,200,172
1786585366,validate,1,,200,183
1786585367,validate,1,,200,177
1786585369,validate,1,,200,241
1786585370,login,1,,200,512
1786585371,validate,1,,200,190
1786585373,validate,1,,200,167
1786585374,validate,1,,200,169
1786585375,validate,1,,200,173
1786585376,validate,1,,200,178
1786585377,validate,1,,200,178
1786585378,validate,1,,200,165
1786585379,validate,1,,200,169
1786585381,login,0,FAILURE,503,1230
1786585383,validate,1,,200,169
1786585384,validate,1,,200,177
1786585385,validate,1,,200,169
1786585386,validate,1,,200,178
1786585387,validate,1,,200,196
1786585389,validate,1,,200,296
1786585390,validate,1,,200,230
1786585391,validate,1,,200,180
1786585393,validate,1,,200,171
1786585394,validate,1,,200,188
1786585395,validate,1,,200,178
1786585396,validate,1,,200,189
1786585397,validate,1,,200,172
1786585398,validate,1,,200,296
1786585400,validate,1,,200,167
1786585401,validate,1,,200,188
1786585402,validate,1,,200,178
1786585403,validate,1,,200,173
1786585404,validate,1,,200,197
1786585405,validate,1,,200,169
1786585406,validate,1,,200,168
1786585407,validate,1,,200,178
1786585409,validate,1,,200,237
1786585410,login,1,,200,333
1786585411,validate,1,,200,175
1786585413,validate,1,,200,176
1786585414,validate,1,,200,168
1786585415,validate,1,,200,169
1786585416,validate,1,,200,178
1786585417,validate,1,,200,169
1786585418,validate,1,,200,185
1786585419,validate,1,,200,178
1786585421,validate,1,,200,166
1786585422,validate,1,,200,173
1786585423,validate,1,,200,177
1786585424,validate,1,,200,172
1786585425,validate,1,,200,181
1786585426,validate,1,,200,179
1786585427,validate,1,,200,164
1786585428,validate,1,,200,263
1786585430,validate,1,,200,165
1786585431,validate,1,,200,167
1786585432,validate,1,,200,173
1786585433,validate,1,,200,164
1786585434,validate,1,,200,167
1786585435,validate,1,,200,170
1786585436,validate,1,,200,173
1786585437,validate,1,,200,165
1786585438,validate,1,,200,302
1786585440,validate,1,,200,178
1786585441,validate,1,,200,182
1786585442,validate,1,,200,164
1786585443,validate,1,,200,163
1786585444,validate,1,,200,165
1786585445,validate,1,,200,170
1786585446,validate,1,,200,184
1786585447,validate,1,,200,167
1786585449,validate,1,,200,224
1786585450,validate,1,,200,176
1786585451,validate,1,,200,177
1786585452,validate,1,,200,194
1786585453,validate,1,,200,169
1786585454,validate,1,,200,177
1786585456,validate,1,,200,168
1786585457,validate,1,,200,172
1786585458,validate,1,,200,168
1786585459,validate,1,,200,252
1786585460,validate,1,,200,164
1786585461,validate,1,,200,165
1786585462,validate,1,,200,167
1786585463,validate,1,,200,162
1786585464,validate,1,,200,166
1786585466,validate,1,,200,170
1786585467,validate,1,,200,167
1786585468,validate,1,,200,167
1786585469,validate,1,,200,243
1786585470,validate,1,,200,163
